,date,hr,tickets
876,2022-08-06,12,162.5149701
877,2022-08-06,13,138.1377246
878,2022-08-06,14,113.760479
879,2022-08-06,15,102.9261477
880,2022-08-06,16,97.50898204
881,2022-08-06,17,89.38323353
882,2022-08-06,18,78.5489022
883,2022-08-06,19,59.58882236
884,2022-08-06,20,43.33732535
885,2022-08-06,21,27.08582834
886,2022-08-06,22,0
887,2022-08-06,23,0
888,2022-08-07,0,0
889,2022-08-07,1,0
890,2022-08-07,2,0
891,2022-08-07,3,0
892,2022-08-07,4,0
893,2022-08-07,5,0
894,2022-08-07,6,0
895,2022-08-07,7,0
896,2022-08-07,8,41.42115768
897,2022-08-07,9,88.01996008
898,2022-08-07,10,134.6187625
899,2022-08-07,11,160.506986
900,2022-08-07,12,155.3293413
901,2022-08-07,13,132.0299401
902,2022-08-07,14,108.7305389
903,2022-08-07,15,98.3752495
904,2022-08-07,16,93.19760479
905,2022-08-07,17,85.43113772
906,2022-08-07,18,75.0758483
907,2022-08-07,19,56.95409182
908,2022-08-07,20,41.42115768
909,2022-08-07,21,25.88822355
910,2022-08-07,22,0
911,2022-08-07,23,0
912,2022-08-08,0,0
