time,港濱軸帶,安平老街,國華海安商圈,孔廟文化園區,赤崁園區
2022/7/1607:00:00PM,29.6,29.3,29.8,29.8,29.8
2022/7/1608:00:00PM,29.2,29.22,29.6,29.6,29.6
2022/7/1609:00:00PM,29,29.07,29.2,29.2,29.2
2022/7/1610:00:00PM,28.6,28.93,28.9,28.9,28.9
2022/7/1611:00:00PM,28.5,28.89,28.9,28.9,28.9
2022/7/1712:00:00AM,28.3,28.79,28.9,28.9,28.9
2022/7/1701:00:00AM,28.3,28.75,28.7,28.7,28.7
2022/7/1702:00:00AM,28.3,28.68,28.7,28.7,28.7
2022/7/1703:00:00AM,28.1,28.64,28.5,28.5,28.5
2022/7/1704:00:00AM,28,28.42,28.4,28.4,28.4
2022/7/1705:00:00AM,28.1,28.37,28.2,28.2,28.2
2022/7/1706:00:00AM,28,27.97,28.1,28.1,28.1
2022/7/1707:00:00AM,27.3,27.18,28,28,28
2022/7/1708:00:00AM,28.7,28.07,28.4,28.4,28.4
2022/7/1709:00:00AM,29.1,29.87,28.3,28.3,28.3
2022/7/1710:00:00AM,27,27.2,30.6,30.6,30.6
2022/7/1711:00:00AM,27.9,28.15,27.5,27.5,27.5
2022/7/1712:00:00PM,31.3,30.56,30.9,30.9,30.9
2022/7/1701:00:00PM,31,30.88,31.3,31.3,31.3
2022/7/1702:00:00PM,31,30.74,31.6,31.6,31.6
2022/7/1703:00:00PM,31.2,30.55,30.7,30.7,30.7
2022/7/1704:00:00PM,30.5,30,31.4,31.4,31.4
2022/7/1705:00:00PM,29.8,29.57,30.6,30.6,30.6
2022/7/1706:00:00PM,29.6,29.52,30.3,30.3,30.3
2022/7/1707:00:00PM,29.2,29.13,30,30,30
2022/7/1708:00:00PM,29.2,29.16,29.7,29.7,29.7
2022/7/1709:00:00PM,29.3,29.1,29.4,29.4,29.4
2022/7/1710:00:00PM,29.1,29.1,29.5,29.5,29.5
2022/7/1711:00:00PM,28.9,29.13,29.1,29.1,29.1
2022/7/1812:00:00AM,28.7,28.95,28.7,28.7,28.7
2022/7/1801:00:00AM,28.5,28.67,28.5,28.5,28.5
2022/7/1802:00:00AM,28.1,28.33,28,28,28
2022/7/1803:00:00AM,27.4,27.86,27.9,27.9,27.9
2022/7/1804:00:00AM,27.3,27.85,27.5,27.5,27.5
2022/7/1805:00:00AM,27.3,27.85,27.7,27.7,27.7
2022/7/1806:00:00AM,27.5,28.18,27.8,27.8,27.8
2022/7/1807:00:00AM,28.4,29.31,28.5,28.5,28.5
2022/7/1808:00:00AM,29.9,31.04,29.6,29.6,29.6
2022/7/1809:00:00AM,30.7,30.95,30.7,30.7,30.7
2022/7/1810:00:00AM,30.5,30.56,31,31,31
2022/7/1811:00:00AM,31.8,31.01,31.2,31.2,31.2
2022/7/1812:00:00PM,31.9,31.34,31.6,31.6,31.6
